trial_ID,block_trial_ID,block,block_type,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
0,0,0,localizer,1,EYE,eye,1,0,0.0,1.0,0.5,1.5,0,0.0,5.0,8.0,0.0,0.0,1.5,0.0,0.0,1.5
1,1,0,localizer,1,EYE,eye,1,0,0.0,1.0,1.0,1.5,0,0.0,4.5,8.0,8.0,8.0,10.0,8.0,8.0,10.0
2,2,0,localizer,0,EYE,eye,0,0,0.0,1.0,1.5,1.5,0,0.0,4.0,8.0,16.0,16.0,18.5,16.0,16.0,18.5
3,3,0,localizer,1,EYE,eye,1,0,0.5,1.0,0.0,1.5,0,0.0,5.0,8.0,24.0,24.5,25.5,24.0,24.5,25.5
4,4,0,localizer,1,EYE,eye,1,0,1.0,1.0,0.5,1.5,0,0.0,4.0,8.0,32.0,33.0,34.5,32.0,33.0,34.5
5,5,0,localizer,0,EYE,eye,0,0,1.5,1.0,0.0,1.5,0,0.0,4.0,8.0,40.0,41.5,42.5,40.0,41.5,42.5
6,6,0,localizer,0,EYE,eye,0,0,0.5,1.0,0.5,1.5,0,0.0,4.5,8.0,48.0,48.5,50.0,48.0,48.5,50.0
7,7,0,localizer,1,EYE,eye,1,0,0.0,1.0,1.5,1.5,0,0.0,4.0,8.0,56.0,56.0,58.5,56.0,56.0,58.5
8,8,0,localizer,0,EYE,eye,0,0,1.5,1.0,0.0,1.5,0,0.0,4.0,8.0,64.0,65.5,66.5,64.0,65.5,66.5
9,9,0,localizer,0,EYE,eye,0,0,1.0,1.0,0.0,1.5,0,0.0,4.5,8.0,72.0,73.0,74.0,72.0,73.0,74.0
10,0,0,localizer,0,HAND,hand,0,0,0.5,1.0,1.5,1.5,0,0.0,3.5,8.0,80.0,80.5,83.0,0.0,0.5,3.0
11,1,0,localizer,0,HAND,hand,0,0,1.5,1.0,0.0,1.5,0,0.0,4.0,8.0,88.0,89.5,90.5,8.0,9.5,10.5
12,2,0,localizer,1,HAND,hand,1,0,0.0,1.0,0.5,1.5,0,0.0,5.0,8.0,96.0,96.0,97.5,16.0,16.0,17.5
13,3,0,localizer,0,HAND,hand,0,0,0.5,1.0,1.5,1.5,0,0.0,3.5,8.0,104.0,104.5,107.0,24.0,24.5,27.0
14,4,0,localizer,1,HAND,hand,1,0,0.0,1.0,1.0,1.5,0,0.0,4.5,8.0,112.0,112.0,114.0,32.0,32.0,34.0
15,5,0,localizer,0,HAND,hand,0,0,0.5,1.0,0.0,1.5,0,0.0,5.0,8.0,120.0,120.5,121.5,40.0,40.5,41.5
16,6,0,localizer,1,HAND,hand,1,0,0.5,1.0,1.5,1.5,0,0.0,3.5,8.0,128.0,128.5,131.0,48.0,48.5,51.0
17,7,0,localizer,1,HAND,hand,1,0,1.5,1.0,1.0,1.5,0,0.0,3.0,8.0,136.0,137.5,139.5,56.0,57.5,59.5
